Lines-CTL,JNose-CTL,Manual-CTL
33-35,TRUE,TRUE
36-38,TRUE,TRUE
39-41,TRUE,TRUE
42-44,TRUE,TRUE
45-47,TRUE,TRUE
48-50,TRUE,TRUE
77-80,TRUE,TRUE
72-81,TRUE,TRUE
83-85,TRUE,TRUE
86-91,TRUE,TRUE
74-76,TRUE,TRUE
73-75,TRUE,TRUE
77-83,TRUE,TRUE
46-48,TRUE,TRUE
28-30,TRUE,TRUE
94-96,TRUE,TRUE
41-42,TRUE,TRUE
38-49,TRUE,TRUE
22-24,TRUE,TRUE
52-54,TRUE,TRUE
57-59,TRUE,TRUE
64-66,TRUE,TRUE
67-69,TRUE,TRUE
83-87,TRUE,TRUE
78-89,TRUE,TRUE
74-94,TRUE,TRUE
76-81,TRUE,TRUE
39-62,TRUE,TRUE
42-44,TRUE,TRUE
37-45,TRUE,TRUE
31-46,TRUE,TRUE
