Line-LT	JNose-LT	Manual-LT
77, 54	TRUE	TRUE
71, 52	TRUE	TRUE
37, 33, 22	TRUE	TRUE
44, 43, 33, 31	TRUE	TRUE
51, 48, 32	TRUE	TRUE
46, 30	TRUE	TRUE
53, 36	TRUE	TRUE
56, 55, 38	TRUE	TRUE
57, 39	TRUE	TRUE
54, 37	TRUE	TRUE
38, 29	TRUE	TRUE
45, 38, 31	TRUE	TRUE
90, 63	TRUE	TRUE
90, 63	TRUE	TRUE
104, 78	TRUE	TRUE
61, 54, 47	TRUE	TRUE
58, 57, 46	TRUE	TRUE
30, 25	TRUE	TRUE
82, 76, 70, 64	TRUE	TRUE
35, 32, 29, 16, 14	TRUE	TRUE
18, 12	TRUE	TRUE
19, 13	TRUE	TRUE
53, 47	TRUE	TRUE
55, 70	FALSE	TRUE
71, 57	TRUE	TRUE
82, 63	TRUE	TRUE
81, 63	TRUE	TRUE
84, 64	TRUE	TRUE
69, 56	TRUE	TRUE
